r,infla,run_folder,data_dir,n_cycles,TG1_avg,TG1_min,UG1_avg,UG1_min,VG1_avg,VG1_min,TRG1_avg,TRG1_min,PSG1_avg,PSG1_min,overall_avg
1,1.0,/gpfs/home/jjs21b/AMLCS/runs/t21_80_0.05_30_LETKF_1_1_100,/gpfs/home/jjs21b/AMLCS/runs/t21_80_0.05_30_LETKF_1_1_100/arctan_inflation/data,30,3.4393260691316816,3.4393260691316816,11.062539999678155,11.062539999678155,2.886177211899194,2.886177211899194,0.3122187522851249,0.3122187522851249,0.0018751367379751076,0.0018751367379751076,3.5404274339464266
1,1.15,/gpfs/home/jjs21b/AMLCS/runs/t21_80_0.05_30_LETKF_1_1_115,/gpfs/home/jjs21b/AMLCS/runs/t21_80_0.05_30_LETKF_1_1_115/arctan_inflation/data,30,3.43951735687318,3.43951735687318,11.442922763433824,11.442922763433824,2.8869678639584957,2.8869678639584957,0.3129178904884455,0.3129178904884455,0.0018783737487983625,0.0018783737487983625,3.616840849700549
1,1.3,/gpfs/home/jjs21b/AMLCS/runs/t21_80_0.05_30_LETKF_1_1_130,/gpfs/home/jjs21b/AMLCS/runs/t21_80_0.05_30_LETKF_1_1_130/arctan_inflation/data,30,3.439731524885769,3.439731524885769,11.77718301945803,11.77718301945803,2.887708040270334,2.887708040270334,0.3136227024945082,0.3136227024945082,0.0018844829727348946,0.0018844829727348946,3.6840259540162754
1,1.45,/gpfs/home/jjs21b/AMLCS/runs/t21_80_0.05_30_LETKF_1_1_145,/gpfs/home/jjs21b/AMLCS/runs/t21_80_0.05_30_LETKF_1_1_145/arctan_inflation/data,30,3.439968558680035,3.439968558680035,12.074455252670477,12.074455252670477,2.888408913997906,2.888408913997906,0.31432508825680955,0.31432508825680955,0.0018922107706911134,0.0018922107706911134,3.7438100048751837
1,1.6,/gpfs/home/jjs21b/AMLCS/runs/t21_80_0.05_30_LETKF_1_1_160,/gpfs/home/jjs21b/AMLCS/runs/t21_80_0.05_30_LETKF_1_1_160/arctan_inflation/data,30,3.440228443256994,3.440228443256994,12.341463188971817,12.341463188971817,2.8890776322575817,2.8890776322575817,0.3150207223101347,0.3150207223101347,0.00190086413080529,0.00190086413080529,3.7975381701854665
2,1.0,/gpfs/home/jjs21b/AMLCS/runs/t21_80_0.05_30_LETKF_2_1_100,/gpfs/home/jjs21b/AMLCS/runs/t21_80_0.05_30_LETKF_2_1_100/arctan_inflation/data,30,4.744280749580652,3.4403118024114985,36.72554916449948,13.9272352535417,9.367490123096779,3.045888218703231,0.7759879603843124,0.3264378993169093,0.006895702626073143,0.0016195558416342091,10.32404074003746
2,1.15,/gpfs/home/jjs21b/AMLCS/runs/t21_80_0.05_30_LETKF_2_1_115,/gpfs/home/jjs21b/AMLCS/runs/t21_80_0.05_30_LETKF_2_1_115/arctan_inflation/data,30,5.524092628025435,3.440721764361562,45.91690905410994,14.402913090459622,10.758591864572473,3.0520748201166454,0.776141528186084,0.3281157393106237,0.005464381167623752,0.0016216044828222162,12.59623989121231
2,1.3,/gpfs/home/jjs21b/AMLCS/runs/t21_80_0.05_30_LETKF_2_1_130,/gpfs/home/jjs21b/AMLCS/runs/t21_80_0.05_30_LETKF_2_1_130/arctan_inflation/data,30,16.86198807558499,3.441172962918776,76.51927567354511,14.818978874220651,18.11628694295259,3.0573387492989164,0.784951339060005,0.32969151547290876,0.004728312532558063,0.001626296021778106,22.45744606873505
2,1.45,/gpfs/home/jjs21b/AMLCS/runs/t21_80_0.05_30_LETKF_2_1_145,/gpfs/home/jjs21b/AMLCS/runs/t21_80_0.05_30_LETKF_2_1_145/arctan_inflation/data,30,43.12973764387561,3.441665340354894,134.3434573425521,15.187942429068187,33.940143943271636,3.0619004644904986,0.7432325202064838,0.331177988469643,0.00434582391837438,0.0016325430093694076,42.432183454764846
2,1.6,/gpfs/home/jjs21b/AMLCS/runs/t21_80_0.05_30_LETKF_2_1_160,/gpfs/home/jjs21b/AMLCS/runs/t21_80_0.05_30_LETKF_2_1_160/arctan_inflation/data,30,76.95522956241187,3.442198837307169,248.3483586764182,15.5188239505186,64.87841542196365,3.065911743951397,0.7491311994702194,0.33258575897474335,0.004144766050932982,0.0016397060837106115,78.18705592526298
3,1.0,/gpfs/home/jjs21b/AMLCS/runs/t21_80_0.05_30_LETKF_3_1_100,/gpfs/home/jjs21b/AMLCS/runs/t21_80_0.05_30_LETKF_3_1_100/arctan_inflation/data,30,4.7333947705901265,3.441186916430522,33.218310602559605,14.474301354753214,7.813565786701743,3.5752810585190336,0.7896665840298621,0.3528594613552683,0.006906820608339183,0.0015355827591692008,9.312368912897934
3,1.15,/gpfs/home/jjs21b/AMLCS/runs/t21_80_0.05_30_LETKF_3_1_115,/gpfs/home/jjs21b/AMLCS/runs/t21_80_0.05_30_LETKF_3_1_115/arctan_inflation/data,30,5.530249992198238,3.4417830617382243,42.45056733558314,14.938962150341164,8.646762758911413,3.604092836394458,0.7657187650845088,0.35545121079607317,0.005459465236994237,0.0015348106380014964,11.479751663402858
3,1.3,/gpfs/home/jjs21b/AMLCS/runs/t21_80_0.05_30_LETKF_3_1_130,/gpfs/home/jjs21b/AMLCS/runs/t21_80_0.05_30_LETKF_3_1_130/arctan_inflation/data,30,16.604535918434376,3.442434604426349,75.95674209240264,15.345339178191306,12.398856791158003,3.628774460920198,0.7490046344655028,0.35782872246981623,0.004703779261870712,0.0015368790712461404,21.142768643144482
3,1.45,/gpfs/home/jjs21b/AMLCS/runs/t21_80_0.05_30_LETKF_3_1_145,/gpfs/home/jjs21b/AMLCS/runs/t21_80_0.05_30_LETKF_3_1_145/arctan_inflation/data,30,41.42939339143887,3.443141426493741,158.876535300952,15.705840355556024,23.715467218950334,3.6502703869096513,0.7500178544997352,0.36003039898804573,0.004273957577413926,0.0015407252706394598,44.95513754468367
3,1.6,/gpfs/home/jjs21b/AMLCS/runs/t21_80_0.05_30_LETKF_3_1_160,/gpfs/home/jjs21b/AMLCS/runs/t21_80_0.05_30_LETKF_3_1_160/arctan_inflation/data,30,65.01333963385679,3.44390340706815,294.23017825858716,16.029360310219854,48.51541225206413,3.669243246495149,0.7546308933810068,0.3620849092525796,0.004002481726379453,0.0015457046449719927,81.70351270392311
